name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,Marka,Model,Buraxilis_ili,ID
Volkswagen Polo 1.2 MPI Comfortline,2019,635000,2000,Petrol,Dealer,Manual,First Owner,16.2 kmpl,1199 CC,74 bhp,110Nm@ 3000-4300rpm,5.0,Volkswagen,Polo,2019,bd20250af6162b22ef3e3e8360e43023
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2014,550000,300000,Diesel,Individual,Manual,Third Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,Mahindra,Scorpio,2014,930157fa96239ba8c0297491006773b4
Mahindra Logan Diesel 1.5 DLE,2011,180000,190000,Diesel,Individual,Manual,Third Owner,19.2 kmpl,1461 CC,65 bhp,"16@ 2,000(kgm@ rpm)",5.0,Mahindra,Logan,2011,9a1e1211afd9c248934efc4d81000aed
Honda City i DTEC E,2015,650000,80000,Diesel,Individual,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,Honda,City,2015,903f84cbec39c70649540a251c17a433
Honda Jazz Select Edition Active,2011,350000,80000,Petrol,Individual,Manual,Second Owner,16.0 kmpl,1198 CC,90 bhp,110(11.2)@ 4800,5.0,Honda,Jazz,2011,92873bc2e0fd4fd624167a656800e7dd
Maruti Alto K10 LXI,2015,265000,54000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,Maruti,Alto,2015,6f4adef13c72121ec88bd06340a6c753
Renault KWID 1.0 RXT Optional,2018,330000,30000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0,Renault,KWID,2018,dcb41c581a3149f3e45d936cf87bd679
Maruti Eeco 7 Seater Standard BSIV,2019,395000,5000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7.0,Maruti,Eeco,2019,8f8868faa638c9d6b825a4ea732dd4ed
Mahindra TUV 300 T8,2015,700000,58945,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,Mahindra,TUV,2015,b1d0cadcf5214f6c7c83ef34a01ee60a
Ford Figo Diesel Titanium,2012,300000,90000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,Ford,Figo,2012,5a860b280959bdedbcda27fe8be66c2d
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,650000,375000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0,Toyota,Innova,2011,d87f06f8a9e64d1db1682fbc818d03eb
Maruti Ertiga VDI,2013,625000,160000,Diesel,Individual,Manual,Third Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0,Maruti,Ertiga,2013,2e0cfe7789b172ff34568336bcc2fddb
Volkswagen Polo GT TDI,2014,425000,80000,Diesel,Individual,Manual,Second Owner,15.11 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0,Volkswagen,Polo,2014,7cc361d6567a4d458895d4d27f4e10a8
Maruti 800 AC BSII,2004,55000,50000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,Maruti,800,2004,2d6f4136dfea054e2be1b50ec3f039c3
Tata Indigo CS LX (TDI) BS-III,2015,250000,80000,Diesel,Individual,Manual,Second Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0,Tata,Indigo,2015,fe5e7393dbcf56bbbf42057048f818e4
Mahindra Bolero 2011-2019 Plus AC,2015,459999,156975,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1440-2200rpm,9.0,Mahindra,Bolero,2015,3c2faeac404a93b6eabf2dbad327ca39
Toyota Corolla Altis 1.4 DGL,2017,1594000,5000,Diesel,Individual,Manual,First Owner,21.43 kmpl,1364 CC,86.79 bhp,205Nm@ 1800-2800rpm,5.0,Toyota,Corolla,2017,2984824384c217d5a9351b1cd772e3a0
Chevrolet Sail 1.2 LS ABS,2014,300000,50000,Petrol,Individual,Manual,First Owner,18.2 kmpl,1199 CC,82.4 bhp,108.5Nm@ 5000rpm,5.0,Chevrolet,Sail,2014,8e15763b35350ca2755e457209af12b6
Ford EcoSport 1.5 TDCi Titanium BSIV,2018,950000,27620,Diesel,Dealer,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0,Ford,EcoSport,2018,caa4314a1694f9f03f7e1de91a2c63c7
Mahindra Scorpio LX,2013,484999,120000,Diesel,Individual,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,9.0,Mahindra,Scorpio,2013,cfbcb9a9d665d45b4988d26f2de310fe
Mahindra Xylo E8,2009,161000,120000,Diesel,Individual,Manual,Third Owner,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,8.0,Mahindra,Xylo,2009,04b5e92c24290ffdf19192a3f21e8f5b
Hyundai i20 Active 1.2 S,2015,500000,58000,Petrol,Individual,Manual,First Owner,17.19 kmpl,1197 CC,81.86 bhp,114.73Nm@ 4000rpm,5.0,Hyundai,i20,2015,4f6e22168eeaa67ceffb8e97e2478705
Nissan Sunny XV,2012,350000,50000,Petrol,Individual,Manual,First Owner,16.95 kmpl,1498 CC,97.7 bhp,134Nm@ 4000rpm,5.0,Nissan,Sunny,2012,965a3d75ab14d242b73fea1768419382
Maruti Ignis 1.2 AMT Alpha BSIV,2017,550000,40000,Petrol,Individual,Automatic,First Owner,20.89 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,Maruti,Ignis,2017,228d11cc6d1bab5c6ddd47313d6530a9
Honda WR-V i-VTEC VX,2018,850000,7800,Petrol,Individual,Manual,First Owner,17.5 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0,Honda,WR-V,2018,0a28817d642e83c206d4575cb5dec843
Maruti Alto 800 LXI,2016,240000,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,Maruti,Alto,2016,8e408f08e881a588869d46e4465ff349
Ford Endeavour 2.5L 4X2 MT,2011,950000,68000,Diesel,Individual,Manual,First Owner,13.1 kmpl,2499 CC,141 bhp,330Nm@ 1800rpm,7.0,Ford,Endeavour,2011,1254de42a44172b42ebeafd6cc5c81d2
Maruti Ertiga VXI,2015,423000,60000,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0,Maruti,Ertiga,2015,a68ed5a88b48f4066fdb3c31ea9a84f8
Tata Indigo GLS,2005,90000,74000,Petrol,Individual,Manual,Second Owner,12.8 kmpl,1396 CC,85 bhp,"12@ 3,500(kgm@ rpm)",5.0,Tata,Indigo,2005,e0402bbe83322341a5a02d9c99ade69b
Tata New Safari DICOR 2.2 VX 4x2 BS IV,2011,350000,58000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0,Tata,New,2011,1aea141f9234f8d5153ba233cc305954
Maruti A-Star Vxi,2011,170000,70000,Petrol,Individual,Manual,Third Owner,19.0 kmpl,998 CC,66.1 bhp,90Nm@ 3500rpm,5.0,Maruti,A-Star,2011,51d05b7c96c125a7ef51a2a81f3638d8
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,450000,70000,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0,Ford,Figo,2015,bfb3e6ecf495b41517b06de2544d29b3
Hyundai i10 Magna,2009,150000,110000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,Hyundai,i10,2009,cc7edb134e35c0cca0758b79d69d2e0b
Hyundai Santro LP zipPlus,2002,75000,80000,Petrol,Individual,Manual,Third Owner,,,,,,Hyundai,Santro,2002,1db4141c47315f50c39249bae791aae8
Hyundai i20 Sportz 1.4 CRDi,2016,511000,80000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,Hyundai,i20,2016,507ac3e6a49cf23d379e903ff5bffaf3
Maruti Ertiga 1.5 VDI,2018,850000,59000,Diesel,Individual,Manual,First Owner,24.2 kmpl,1498 CC,93.87 bhp,225Nm@ 1500-2500rpm,7.0,Maruti,Ertiga,2018,be4a57eca60874aa61142266f8e86157
Tata Indica V2 eLS,2018,250000,110000,Diesel,Individual,Manual,First Owner,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0,Tata,Indica,2018,f2d2876f6027a3c0a90431846dca97ef
Maruti Celerio ZXI,2020,420000,25000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,Maruti,Celerio,2020,278ca10cd57811a1cef3f5aa4305de90
Maruti Alto 800 LXI,2014,180000,55000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,Maruti,Alto,2014,7b39c98699a502983f5a5776474f0ebb
Maruti Celerio ZDi,2015,400000,25000,Diesel,Individual,Manual,First Owner,27.62 kmpl,793 CC,47 bhp,125Nm@ 2000rpm,5.0,Maruti,Celerio,2015,3de03243e827132584b7dfd884fb802a
Mahindra Xylo E4,2009,150000,300000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,7.0,Mahindra,Xylo,2009,3371fdc4205f0fa63a4832f746cddf5c
Ford Figo 1.5D Titanium MT,2016,500000,143200,Diesel,Individual,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0,Ford,Figo,2016,a93fdd2d33f702cd60d23569c13a5f68
Jeep Compass 2.0 Longitude Option BSIV,2017,1689999,60000,Diesel,Individual,Manual,First Owner,17.1 kmpl,1956 CC,170 bhp,350Nm@ 1750-2500rpm,5.0,Jeep,Compass,2017,3405055712235d647983daacf14eb72c
Nissan Micra Diesel XV Premium,2012,204999,120000,Diesel,Individual,Manual,First Owner,23.08 kmpl,1461 CC,63.1 bhp,160Nm@ 2000rpm,5.0,Nissan,Micra,2012,9ed3d526f81f4e6f22b6820814686aed
Maruti Ciaz VDi Plus,2014,459999,145000,Diesel,Individual,Manual,Second Owner,26.21 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,Maruti,Ciaz,2014,d39908c89946b27d92a589ec0302ebee
Hyundai i20 2015-2017 Magna 1.2,2017,600000,30000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,Hyundai,i20,2017,7f6f5e8cc1caa7cfdd84f4feb18cd1e5
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2019,585000,8000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0,Hyundai,Grand,2019,432854174545af97ab44bfa6d93180a6
Ford Endeavour 2.5L 4X2 MT,2012,551000,170000,Diesel,Individual,Manual,First Owner,13.1 kmpl,2499 CC,141 bhp,330Nm@ 1800rpm,7.0,Ford,Endeavour,2012,ac029a8f6e49c56b29f0edc9f74153d3
Maruti Swift Dzire LDI,2013,525000,100000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,Maruti,Swift,2013,0dee2c3fa5e50e946be552244d83faa5
Maruti Omni 8 Seater BSIV,2012,160000,62000,Petrol,Individual,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5.0,Maruti,Omni,2012,007942783d93f47a5b6fa7d61a5de3cc
Mahindra XUV500 W8 AWD,2014,825000,110000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,Mahindra,XUV500,2014,aa8ecd9c83439e53a4b38abf949ad237
Hyundai Santro Xing GL CNG,2007,127000,137000,CNG,Individual,Manual,First Owner,,,,,,Hyundai,Santro,2007,27edc0f6350901116ff7cdd2d1c97a35
Chevrolet Tavera Neo 3 LS 9 Str BSIII,2015,600000,80000,Diesel,Individual,Manual,Second Owner,13.58 kmpl,2499 CC,72.4 bhp,171Nm@ 1800rpm,9.0,Chevrolet,Tavera,2015,40791b0fab46ea89420a7c258e076664
Maruti Zen Base,2002,65000,80000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0,Maruti,Zen,2002,59e86831d68dc69caac411688bd6240b
Maruti Swift Dzire VDI,2013,550000,100000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,Maruti,Swift,2013,c5a138c787bdb3e189cf733e52cadd23
Mahindra Bolero 2011-2019 Plus - AC BSIII,2015,650000,120000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9.0,Mahindra,Bolero,2015,301d816bc9c1ded7a6d41038181c3002
Maruti Swift Dzire VDI,2019,750000,24000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,Maruti,Swift,2019,361d538937195b1053ccfd3786710d11
Mahindra KUV 100 mFALCON D75 K8,2017,380000,80000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6.0,Mahindra,KUV,2017,59bbcba1b1d48c059d02270396b9598e
Hyundai Verna 1.6 SX CRDi (O),2012,400000,138000,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0,Hyundai,Verna,2012,a8276f06e97a3407a468178f1edc968a
Maruti Wagon R LXI,2003,50000,147000,Petrol,Individual,Manual,Fourth & Above Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,Maruti,Wagon,2003,a9eb04139d81817446393801a0efb704
Mahindra TUV 300 mHAWK100 T8 Dual Tone,2017,750000,60000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,Mahindra,TUV,2017,09ef53dc077896c76a511a1fede05909
Chevrolet Spark 1.0 LS,2011,150000,80000,Petrol,Individual,Manual,First Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5.0,Chevrolet,Spark,2011,3bad672af07ec2441ccf39bf594d4636
Maruti Alto 800 LXI,2016,245000,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,Maruti,Alto,2016,8e408f08e881a588869d46e4465ff349
Tata Manza Club Class Quadrajet90 VX,2013,260000,189000,Diesel,Individual,Manual,First Owner,21.02 kmpl,1248 CC,88.76 bhp,200Nm@ 1750-3000rpm,5.0,Tata,Manza,2013,67372d767a11c23c81de3191fdf062e2
Volkswagen Vento 1.5 TDI Highline AT,2014,411000,90000,Diesel,Individual,Automatic,Second Owner,21.21 kmpl,1498 CC,103.2 bhp,250Nm@ 1500-2500rpm,5.0,Volkswagen,Vento,2014,f9ecae7eb4b0220066e34daf8cb49273
Hyundai i20 Sportz 1.4 CRDi,2014,450000,56000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1750-2750rpm,5.0,Hyundai,i20,2014,cee99c54dc113ce33783615ea639aef6
BMW 3 Series 320d Luxury Line,2012,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88 kmpl,1995 CC,184 bhp,380Nm@ 1750-2750rpm,5.0,BMW,3,2012,15af07e627bdf6c78994bfc84c174d26
Maruti Celerio VXI,2016,351000,60000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,Maruti,Celerio,2016,8923dced14114491b1abec23f8c789bd
Mahindra XUV500 W8 4WD,2012,550000,130000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,Mahindra,XUV500,2012,ba48f46d07d93d365d66101acb83f7aa
BMW 3 Series 320d Luxury Plus,2013,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88 kmpl,1995 CC,184 bhp,380Nm@ 1750-2750rpm,5.0,BMW,3,2013,4d68f1708728a5db4f733f4148435c6b
Tata Manza Club Class Quadrajet90 VX,2013,260000,189000,Diesel,Individual,Manual,First Owner,21.02 kmpl,1248 CC,88.76 bhp,200Nm@ 1750-3000rpm,5.0,Tata,Manza,2013,67372d767a11c23c81de3191fdf062e2
Volkswagen Vento 1.5 TDI Highline AT,2014,411000,90000,Diesel,Individual,Automatic,Second Owner,21.21 kmpl,1498 CC,103.2 bhp,250Nm@ 1500-2500rpm,5.0,Volkswagen,Vento,2014,f9ecae7eb4b0220066e34daf8cb49273
Hyundai i20 Sportz 1.4 CRDi,2014,450000,56000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1750-2750rpm,5.0,Hyundai,i20,2014,cee99c54dc113ce33783615ea639aef6
BMW 3 Series 320d Luxury Line,2012,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88 kmpl,1995 CC,184 bhp,380Nm@ 1750-2750rpm,5.0,BMW,3,2012,15af07e627bdf6c78994bfc84c174d26
Maruti Celerio VXI,2016,351000,60000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,Maruti,Celerio,2016,8923dced14114491b1abec23f8c789bd
Mahindra XUV500 W8 4WD,2012,550000,130000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,Mahindra,XUV500,2012,ba48f46d07d93d365d66101acb83f7aa
BMW 3 Series 320d Luxury Plus,2013,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88 kmpl,1995 CC,184 bhp,380Nm@ 1750-2750rpm,5.0,BMW,3,2013,4d68f1708728a5db4f733f4148435c6b
Nissan Terrano XE 85 PS,2016,750000,35000,Diesel,Individual,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0,Nissan,Terrano,2016,6e6f549f623eb0df561cefc68b00420d
Nissan Terrano XL 85 PS,2015,800000,35000,Diesel,Individual,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0,Nissan,Terrano,2015,91e051e27a5f51d22b8c0a3fa33371f7
Tata New Safari DICOR 2.2 EX 4x2,2011,350000,156000,Diesel,Individual,Manual,First Owner,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0,Tata,New,2011,84a7278701aa35d5f155c5446a3ed965
Maruti Alto 800 LX,2013,200000,90000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,Maruti,Alto,2013,b4e1ce59fde83065bbcdbdbf25a5eb31
Tata Indigo LS,2008,150000,60000,Diesel,Individual,Manual,Third Owner,17.0 kmpl,1405 CC,70 bhp,"13.5@ 2,500(kgm@ rpm)",5.0,Tata,Indigo,2008,536197366567ebc8c06ab73220fcdc00
Nissan Terrano XL 110 PS,2016,800000,36000,Diesel,Individual,Manual,First Owner,19.01 kmpl,1461 CC,108.5 bhp,248Nm@ 2250rpm,5.0,Nissan,Terrano,2016,3dc2c0694eaf7b85549173e51d92c495
Hyundai EON Era Plus Sports Edition,2017,350000,20000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,Hyundai,EON,2017,3477adab311367664959687d72715486
Tata New Safari DICOR 2.2 VX 4x2,2011,350000,160000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138 bhp,320Nm@ 1700-2700rpm,7.0,Tata,New,2011,56ee5c27ae123c4dc120792e7062b005
Mahindra Scorpio 2.6 Turbo 9 Str,2006,250000,185000,Diesel,Individual,Manual,First Owner,12.7 kmpl,2609 CC,116.6 bhp,"28.3@ 1,700-2,200(kgm@ rpm)",9.0,Mahindra,Scorpio,2006,38ec889d79ea9386bff09855b30d03bd
Tata Indica Vista Terra 1.4 TDI,2010,170000,110000,Diesel,Individual,Manual,Second Owner,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,5.0,Tata,Indica,2010,cde4f078f652e119acecf155eb6b0015
Renault KWID RXT Optional,2018,395000,10800,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0,Renault,KWID,2018,0b27fdcc8eaae2e310b742621f9fc778
Mahindra Bolero 2011-2019 SLE,2012,450000,120000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,Mahindra,Bolero,2012,590d2557137ae58ff2e06033ff846a25
Maruti Ignis 1.2 Delta BSIV,2019,500000,15000,Petrol,Individual,Manual,First Owner,20.89 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,Maruti,Ignis,2019,2f910fb9b7f61711688f32e1f925f88d
Tata Sumo EX 10/7 Str BSIII,2012,200000,67500,Diesel,Individual,Manual,First Owner,12.2 kmpl,1948 CC,68 bhp,"115@ 2,500(kgm@ rpm)",10.0,Tata,Sumo,2012,4f56a8327d488edb554f876ddb23856d
Tata Hexa XM,2017,1200000,30000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7.0,Tata,Hexa,2017,d9216c000d5c81da32acc8121a1ff54e
Mahindra KUV 100 mFALCON D75 K8,2016,400000,50000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6.0,Mahindra,KUV,2016,3d0c2bc119c4f58fb23ff2842972324a
Mahindra TUV 300 T8,2016,650000,100000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,Mahindra,TUV,2016,316b1e9448c2aecd8b5ec3db283b587b
Mahindra Bolero 2011-2019 DI - AC BS III,2016,550000,150000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9.0,Mahindra,Bolero,2016,9917e623259a9bcfe66e4d7c8a5ff6a6
Mahindra XUV500 W10 2WD,2015,1100000,110000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,Mahindra,XUV500,2015,9e56eb5cb44bbd739e201a2aaee1d580
Maruti Alto 800 LXI,2012,254999,30000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,Maruti,Alto,2012,065668d0d6e3576bfe370f4ab7d9413a
Maruti Alto LXi,2011,180000,60000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,Maruti,Alto,2011,ad0a4440210567fd2adc30799fef49b9
Mahindra Xylo D2,2010,160000,255000,Diesel,Individual,Manual,Second Owner,13.0 kmpl,2489 CC,95 bhp,220Nm at 1400-2600 rpm,8.0,Mahindra,Xylo,2010,8d7574b3f53a4daacc51da2e5a116ecf
Chevrolet Optra Magnum 2.0 LT BS3,2008,225000,120000,Diesel,Individual,Manual,Second Owner,16.52 kmpl,1991 CC,123.7 bhp,305Nm@ 2000rpm,5.0,Chevrolet,Optra,2008,4ca55c4a8ee6ee1629393546bc0182d7
Maruti Alto 800 LXI,2015,270000,49900,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,Maruti,Alto,2015,bcf51ac3a3ab6f1b7c9c5576636cddff
Tata Manza Aura Quadrajet BS IV,2012,310000,86000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0,Tata,Manza,2012,5af0819ed1cf4235a4bf69762e094b24
Datsun GO T BSIV,2015,225000,71850,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5.0,Datsun,GO,2015,05765d4d7cfc140b1086c21dc98fb0cb
Fiat Grande Punto EVO 1.3 Dynamic,2015,300000,95000,Diesel,Individual,Manual,Third Owner,21.2 kmpl,1248 CC,75 bhp,197Nm@ 1750rpm,5.0,Fiat,Grande,2015,05793ca4bd9c7da4fabfd9f88c6224b6
Maruti Swift Dzire VXi,2008,250000,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5.0,Maruti,Swift,2008,a7f5db05b54926d4696306cd502824fb
Hyundai EON Sportz,2011,180000,35000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,Hyundai,EON,2011,e7cbcac57d41e8c709f31c1636e85870
Maruti Swift Dzire VXI,2015,550000,50000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0,Maruti,Swift,2015,7babf64134e6ef143f12c11aea62398d
Mahindra Bolero XL 10 Seater Non AC,2007,300000,120000,Diesel,Individual,Manual,Third Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0,Mahindra,Bolero,2007,71e26112a80f61f306c240dbbe026dda
Hyundai Elantra CRDi SX,2015,900000,145000,Diesel,Individual,Manual,First Owner,22.7 kmpl,1582 CC,126.2 bhp,259.88Nm@ 1900-2750rpm,5.0,Hyundai,Elantra,2015,b1c16272dfa4b43c1d227f77f622d831
Tata Sumo EX BS IV,2012,254999,190000,Diesel,Individual,Manual,Third Owner,,,,,,Tata,Sumo,2012,d7eedf5a5223b2e79bd43d0ecdf46697
Mahindra XUV500 W9 2WD,2018,1530000,40000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,138 bhp,330Nm@ 1600-2800rpm,7.0,Mahindra,XUV500,2018,0af215f27feadbab675b3d30dd3c078c
Maruti Baleno Delta 1.3,2015,590000,110000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,Maruti,Baleno,2015,f6a09ce9ec590099b3096c82297f4aa8
Maruti Wagon R LXI DUO BSIII,2008,170000,112000,LPG,Individual,Manual,Second Owner,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5.0,Maruti,Wagon,2008,0d42abc66faa2974bf431a42dd28a007
Audi A3 35 TDI Premium Plus,2017,2600000,70000,Diesel,Individual,Automatic,First Owner,20.38 kmpl,1968 CC,143 bhp,320Nm@ 1750-3000rpm,5.0,Audi,A3,2017,8a67d47879fdddd9ec088c315eb0a168
Maruti Ritz VDi,2016,475000,110000,Diesel,Individual,Manual,First Owner,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5.0,Maruti,Ritz,2016,2060d63dbb11d05f8cca2db866c06bb2
Hyundai Grand i10 1.2 CRDi Asta,2018,700000,29000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0,Hyundai,Grand,2018,b61c06ad55fa0db708f2e8299829b2d3
